text,label,level
always be yourself  express yourself  have faith in yourself  do not go out and look for a successfull personality and duplicate it,1,A2
i passionately believe home cooking has vast benefit to individuals  families  community  environment and animal welfare  but in todays busy society it is often the first thing we outsource while some may argue this makes economic sense  the cost and benefit of doing so cannot be measured in dollars alone,1,A2
it is the attention we give to bad situations that stops us from getting out of them,0,A1
looking back  i wonder if mom saw it in my eyes the storm clouds gathering  the dry crackle of electricity in the air but it was already too late no warning sirens were going to save me i guess you never really know the danger  not until youre the one left  huddled on the ground  surrounded by the pieces of your broken heart,1,A2
since beginners can only remain in contact with the object of observation for short periods  initially one should meditate in brief sessions even eighteen times a day  in due course stability will be achieved of its own accord  at which time the session can be lengthened it is important not to try at first to meditate for long periods  otherwise  upon sight of the meditation cushion  one will feel nausea and laziness the session should be left while it is going well  when one still feels that it would go well if continued,2,B1
reaching the finish line isnt possible without beginning the first step of the journey start today  dont wait,0,A1
each season i strive to design a forwardthinking and effortless collection with a very clean minimalist aesthetic,3,B2
no  dahlia said  because i think people like him think work is supposed to be drudgery punctuated by very occasional moments of happiness  but when i say happiness  i mostly mean distraction you know what i meanno  please elaborateokay  say you go into the break room  she said  and a couple people you like are there  say someones telling a funny story  you laugh a little  you feel included  everyones so funny  you go back to your desk with a sort of  i dont know  i guess afterglow would be the word you go back to your desk with an afterglow  but then by four or five oclock the days just turned into yet another day  and you go on like that  looking forward to five oclock and then the weekend and then your two or three annual weeks of paid vacation time  day in day out  and thats what happens to your life,1,A2
love is the only thing that we can carry with us when we go  and it makes the end so easy,0,A1
people lose a lot of time being afraid people lose a lot of time in hating others  and theres no fun in it at all,0,A1
why does it have to come down to choosing just one man  when no one man can give me everything i want,0,A1
its frustrating when our best efforts to help people fail but if we could see life through their weary eyes and experience their trials with the same frayed emotions  we might understand why,2,B1
a woman is like a tea bag  you cant tell how strong she is until you put her in hot water,0,A1
there is nothing better than love  kindness and forgiveness to create enduring peace,3,B2
my name or yours doesnt matter  we all are mere drops in the ocean of divine consciousness  an extension of supreme power,3,B2
god loves you unconditionally  as you are and not as you should be  because nobody is as they should be,0,A1
let him talk  said dupin  who had not thought it necessary to reply let him discourse  it will ease his conscience  i a satisfied with having defeated him in his own castle,2,B1
life is not about what happened yesterday nor what will happen tomorrow its about this particular moment,0,A1
the best and most beautiful things in the world cannot be seen or even touched  they must be felt with the heart,0,A1
a person employs human reason and intellect to guide our earthly expedition we can stumble through life satisfying the unconscious dictates of the mind or take control of our life by increasing our level of conscious awareness philosophy always commences with an act of consciousness we must follow our moral passions we create our reality by what we perceive as truth we imagine a life that we wish to experience live the life that you envision do not allow other people or external determinates to control your conception of the self  because otherwise you are living someone elses life,2,B1
because a womans beauty does not belong to her alone it is a part of the bounty she brings into the world she has a duty to share it,0,A1
i mean  certainly writing  painting  photography  dance  architecture  there is an aspect of almost every art form that is useful and that merges into film in some way,1,A2
and the shooting will happen so fast and be over so quick that youll wonder what all the planning and palaver was for  when in the end it always comes down to the same five minutes worth of blood  pain  and stupidity,1,A2
always be excited about your life try to find and create beauty in and around you give away your love and smiles as much as you can be content and happy with what you have,0,A1
no one  from pontiffs to professors  has a monopoly on the truth in the end  we are all just travelersnot scientists or mystics or any one brand of thinker by nature  we are scientists and mystics  reductionists and holists  leftbrained and rightbrained  mixed up creatures trying to catch an occasional glimpse of the truth the best we can do is to be tolerant of both sides of our natureknowing that these reflect the twin aspect of the universeand learn from whatever wisdom is offered,2,B1
a finger pointing with particular aim too far from the goal in effect points at everything,1,A2
i maintain that the cosmic religious feeling is the strongest and noblest motive for scientific research,4,C1
when you focus  you can achieve anything if you have no focus  you will achieve nothing,0,A1
part of what makes us human is what we mean to other people  and what people mean to us i miss meaning something to someone  having that part of being human,0,A1
stop comparing yourself to other people  just choose to be happy and live your own life,0,A1
because of the past  so many people are living in the past no one is free from the past  but we are free to choose to move from the past into the present or stay in the past  though we live in the present,1,A2
look toward the souls guidance  which is not just ready to be shared  but  awaits you acceptance,4,C1
a man dont always have to eat what hes standing life if he wants  a man can fix a meal of his own choosing,0,A1
you can get much further with a kind word and a gun than you can with a kind word alone,0,A1
i like physics i think it is the best science out of all three of them  because generally its more useful you learn about speed and velocity and time  and thats all clever stuff,0,A1
every day  you get the opportunity to change your life change what you do not want change what makes you unhappy,0,A1
if nature has composed the human body so that in its proportions the seperate individual elements answer to the total form  then the ancients seem to have had reason to decide that bringing their creations to full completion likewise required a correspondence bewteen the measure of individual elements and the appearance of the work as a whole,2,B1
i dont think about tennis 24 7 i enjoy time on the lake at my florida home and just being lazy on the sofa,0,A1
he didnt needs words or even want them because he knew how they could lie  could heat your blood and disappear,0,A1
iranian filmmakers are not passive they fight whenever they can  as creative expression means a lot to them the restrictions and censorship in iran are a bit like the british weather one day its sunny  the next day its raining you just have to hope you walk out into the sunshine,1,A2
there are no superior or inferior races no one is intrinsically inferior or superior all have the same value as creatures of god those who put others down simply want to exploit them,3,B2
tedium and boredom are related  but not identical tedium comes from a person lacking an ideology to live by  the dulling fear fomented in the soul after confronting the paucity of life,4,C1
a movie is not a movie  it is a potential nuclear furnace of inspiration  courage and conscience,3,B2
i believe government should encourage competition  not prop up the weak when the going gets tough,2,B1
people walk in the door because they need you to take care of them  to feed them or fix them,0,A1
there is nothing noble in being superior to your fellow men true nobility lies in being superior to your former self,4,C1
he sent up another silent prayer to wherever desperate prayers go and took the first step toward what he hoped would be salvation,2,B1
the only bright corner of my heart  where nothing seemed to hurt  was where grey was when i thought of him  i could see a future where i could be happy again  where i might not be just like i was before the crimson fever  but at least a version of myself that felt whole,1,A2
scholars  theologians  and even poets have yet to be able to truly describe and touch upon the beauty  romance  and magic of a relationship built on 100 authenticity,3,B2
tearing down the rest of the world wont make you happy look inside yourself because finding who you were meant to be what you were put into this world to do thats what fills the emptiness its the only things that can,0,A1
mind is indeed that which takes one to moksha  and it is also the mind that makes one wander around in the worldly life one needs to just turn it in the right direction it had been turned in the wrong direction  and so it needs to be turned in the right direction,1,A2
a womans elegance will charm you for days her beauty will charm you for weeks her grace will charm you for years and her virtue will charm you for a lifetime,3,B2
cease from envy  prejudice and unhealthy competitiveness never abandon your own mission and brand to pursue the seemingly exciting mission or vision of another,4,C1
i may be permitted  kind reader  to doubt whether you have ever been enclosed in a glass bottle  unless some vivid dream has teased you with such magical mishaps,2,B1
the world needs many more humanitarians than it needs warriors  but there can be none of the former without enough of the latter,3,B2
to make a difference in the world  it only takes one optimistic person  who can gather millions of people to make the change,1,A2
out of fear  out of the desire for approval  out of misguided notions of duty  people surrender themselvestheir convictions and their aspirationsevery day there is nothing noble about it it takes far more courage to fight for your values than to relinquish them,3,B2
the best dont start at the top  embrace every struggle  mistake  and obstacle you overcame to get there persistence and faith  success,3,B2
what brings you closer to god is being in service to others i think any religion or spiritual way of life will indicate that service to others will lead to a connection with a higher power,1,A2
if you use a philosophy education well  you can get your foot in the door of any industry you please industries are like the blossoms on a tree while philosophy is the trunk  it holds the tree together  but it often goes unnoticed,2,B1
all the beauty of the spring went for happy men to think of all the increase of the year was for other eyes to mark not a sign of any sunrise for me from my fount of life,0,A1
it is at night when sleep like the outgoing sea leaves you dry and cold and the morning light arrives like a small punishment,0,A1
shadow is lights child it is nothing without the light  and nothing if it falls into darkness,1,A2
rebellion is what you make of it when youve been on a tour bus for two months straight  and then you get in your car and drive wherever you want  that can feel rebellious,1,A2
i have been very happy  very rich  very beautiful  much adulated  very famous and very unhappy,0,A1
boundaries come after grace  because compassion minds the fragile places but boundaries keep them from compromising the rest brokenness may have legitimate origins  but left unchecked  a wound becomes infected and poisons the whole body  and subsequently  everyone around  wounds must be attended to heal with an unhealthy limb  the rest of the body overcompensates through manipulation  aggression  or blaming boundaries here are kind better to apply direct pressure to the wound than pretend it is well  this may get worse before better  but it is way of healing,3,B2
gratitude without practicing maybe like practicing a faith without good work a grateful heart is not enough without a grateful habit,1,A2
there lived a redheaded man who had no eyes or ears he didnt have hair either  so he was called a redhead arbitrarily he couldnt talk because he had no mouth he had no nose either he didnt even have arms or legs he had no stomach  he had no back  he had no spine  and he had no innards at all he didnt have anything so we dont even know who were talking about its better that we dont talk about him any more,0,A1
i would never tell anybody to give up hockey  the great sports we have here  basketball  lacrosse  rugby coming into its own  weve got so many great team sports  and i say hold on to them,0,A1
even when people dont stay married  they can still be a family together thats been something thats been really good for developing me as a person its been a very positive learning experience,0,A1
i know that we will be judged in history by not only how we disrupt terrorism but how we protect the civil liberties and constitutional rights of all americans  even americans who dont wish us well we must do all these things exceptionally well,3,B2
courage is chief among virtues for when any virtue is challenged  it is courage alone that can restore virtue,4,C1
a picture held us captive and we could not get outside it  for it lay in our language and language seemed to repeat it to us inexorably,2,B1
his progress through life was hampered by his tremendous sense of his own ignorance  a disability which affects all too few,3,B2
you want to do something good for the flowers then  keep the flowers in the soil  in nowhere else,0,A1
itll always be dark until you decide to turn on the light  you can and you will  its your choice,0,A1
the one whose kashays   inner anger  pride  deceit  greed  are gone is worthy of worship the absence of inner intent of kashays is indeed gnani,4,C1
summoning gratitude is a sure way to get our life back on track opening our eyes to affirm gratitude grows the garden of our inner abundance  just as standing close to a fire eventually warms our heart,2,B1
the study of the past helps us to appreciate that the ideas and values of our own age are just as provisional and transient as those of bygone ages the intelligent and reflective engagement with the thought of a bygone era ultimately subverts any notion of chronological snobbery reading texts from the past makes it clear that what we now term the past was once the present  which proudly yet falsely regarded itself as having found the right intellectual answers and moral values that had eluded its predecessors,3,B2
it is a good thing to go to paris for a few days if you have had a lot of trouble  and that is my advice to everyone except parisians,0,A1
this world  the eternally imperfect  the eternal and imperfect image of a contradiction  an intoxicating joy to its imperfect creator  that is what i once thought the world,3,B2
true love is a different story when it happens  individuals usually feel in touch with each others core identity embarking on such a relationship is frightening precisely because we feel there is no place to hide we are known all the ecstasy that we feel emerges as this love nurtures us and challenges us to grow and transform,2,B1
ravens are the birds ill miss most when i die if only the darkness into which we must look were composed of the black light of their limber intelligence if only we did not have to die at all instead  become ravens,1,A2
your absence has not taught me to be alone  it merely has shown that when together we cast a single shadow on the wall,2,B1
the design of love actually  the typeface  the basic line of that poster and that dvd cover has been ripped off so many times,1,A2
there has been a rediscovery of the meaning of baptism as entrance and integration into the church  of ecclesiological significance but ecclesiology  unless it is given its true cosmic perspective  for the life of the world   unless it is understood as the christian form of cosmology  is always ecclesiolatry  the church considered as a being in itself and not the new relation of god  man and the world,2,B1
my mom used to say thats why we have memory and the opposite of memoryhope so things that are gone can still matter so we can build off our pasts and make futures,0,A1
there is a lot of criticism around you dont pay attention to what they say or thinkas long as you are gratified for what you do  what do you care what other people think,0,A1
there are three answers to prayer yes  no  and wait awhile it must be recognized that no is an answer,0,A1
he wanted to hide by shrinking past zero  through the dot at the end of himself  to a negative size  into an otherworld  where he would find a place in an enormous city  too large to know itself  or some slowly developing suburb to be alone and carefully build a life in which he might be able to begin  at some point  to think about what to do about himself,1,A2
when you have a definite purpose of life  the universe will reveal the path to attainment,3,B2
when a medium like games or comic books whips up such a rapture of enthusiasm  naturally we look for lessons we should be learning,3,B2
a fake ring a fake engagement fake love everything was fake shiny and put together on the outside  empty on the inside,3,B2
