headword,CEFR
abandoned,B2
abnormal,B1
abnormally,B2
aboard,B1
aboriginal,B2
aborigine,B1
abruptly,B2
absentee,B2
abundant,B1
accessibility,B2
accessory,B1
accidental,B1
accustom,B1
ache,B1
ache,B2
achievable,B2
acquaintance,B1
actively,B2
adaptable,B2
addict,B2
addicted,B2
addressee,B1
adjective,A2
admirable,B2
admiration,B1
admiringly,B2
admittedly,B2
adopted,B2
adorable,B1
adore,B2
adorn,B2
advancement,B2
advent,B2
adventurous,B2
adverb,B1
adverbial,B1
adversely,B2
adversity,B2
advert,B1
aerobics,B1
affectionate,B2
affectionately,B2
afterward,B1
ageless,B2
aggressively,B2
agony,B2
air conditioning,B1
air force,B1
aircrew,B2
aisle,A2
alarm clock,A2
alcoholism,B2
allergic,B1
aloud,B1
alphabet,B1
alphabetical,B2
alright,A2
alright,A2
altar,B2
alternate,B2
alternatively,B2
altitude,B2
am,A1
amaze,B2
amazement,B2
amazingly,B2
ambiguity,B2
ambiguous,B2
ammonia,B2
amongst,B2
ample,B2
amplifier,B2
amplify,B2
amuse,B2
amused,A2
amusement,A2
an,A1
anchorage,B2
anchorman,B2
anchorperson,B2
angrily,A2
anguish,B2
animate,B2
animated,B1
annoyance,B1
ant,B1
anti,B1
antiaircraft,B2
antibacterial,B2
anticancer,B2
anticipation,B2
antipollution,B2
antique,B2
antique,B1
antistatic,B2
antivirus,B2
antonym,B1
anxiously,B1
anyhow,B1
anymore,A2
ape,B1
apostrophe,B2
applause,B1
appreciative,B2
approximate,B2
apron,A1
arch,B2
arctic,B2
are,A1
aristocracy,B2
arithmetic,B1
armchair,A2
armful,B2
arouse,B2
arrogant,B2
artery,B2
artificially,B2
artistry,B2
aspirin,B1
astonish,B2
astonished,B2
astonishment,B2
astronaut,A2
astronomer,B1
astronomy,B2
athletic,B1
athletics,B2
Atlantic,B1
atom,A2
atomic,B1
attached,B2
attainable,B2
attainment,B2
attentive,B2
attentively,B2
attractiveness,B2
atypical,B2
aubergine,B2
audition,B2
authoritative,B2
auxiliary,B1
avenue,B1
awake,A1
awe,B2
awesome,B1
axis,B2
babysit,B1
babysitter,B1
backache,B1
backpack,B1
backpacker,B1
backpacking,B1
backyard,B2
bacon,B1
badminton,A2
bad-tempered,B2
baggage,B1
baker,B1
bakery,B1
balcony,A2
bald,B1
balky,B2
ballad,B2
bandage,B1
bang,B1
bang,B1
bank account,B1
banker,B2
banking,A2
bankrupt,B2
bankruptcy,B2
barbecue,A2
barbecue,B1
barber,A2
barbershop,B2
bark,B1
bark,B2
barley,B2
barman,B1
barn,B2
barometer,B2
barren,B2
bartender,B2
basin,B1
batch,A2
bathe,B1
bathhouse,B2
beagle,B2
beak,B2
beard,B1
bearing,B2
beautifully,B1
beautify,B2
beaver,B1
because of,B1
bedside,B1
been,A2
beginner,A2
bellow,B2
belly,A2
belongings,B2
benevolence,B2
benevolent,B2
berry,B2
bestow,B2
bestseller,B2
bewilder,B2
bewilderment,B2
bidding,B2
bikini,B2
bilingual,B1
bio,B2
biochemistry,B1
biotechnology,B2
birdcage,B2
birthplace,B2
bitterly,B2
blackboard,A2
blaze,B2
blaze,B2
blindly,B2
blindness,B2
blink,B2
blogger,B1
bloodstream,B2
bloody,B2
bloody,B2
bloom,A2
blooming,B2
blossom,B2
blur,B2
blurt,B2
blush,B1
blush,B2
board game,A2
boiled,A2
boiling,B2
boldly,B1
bolt,B2
bolt,B2
bombard,B2
bomber,B2
bony,B2
bookcase,A2
bookish,B2
booklet,B2
bookmark,B2
bookmark,B2
bookshelf,A2
bookshop,A2
bookstore,A1
booth,B2
bore,B1
boredom,B1
bossy,B2
botany,B2
bothered,B2
bothersome,B2
bourbon,B2
boxer,B2
boxing,B1
bra,A2
bracelet,B1
bracket,B2
brag,B2
brainstorm,A2
brainstorming,B1
brake,A2
brake,B2
brand-new,B1
brass,B1
bravely,B1
bravery,B2
breakable,B2
breakup,B2
breathless,B1
